time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
1154245,0.98,-0.02,0.08,1.61,-2.62,0.02,48.52,-7.77,-5.26,3
1154257,0.98,-0.02,0.08,1.62,-1.89,0.03,48.52,-7.77,-5.26,3
1154268,0.98,-0.02,0.08,1.61,-0.88,0.03,48.52,-7.77,-5.26,3
1154279,0.99,-0.02,0.07,1.65,-0.94,0.01,48.52,-7.77,-5.26,3
1154290,0.99,-0.02,0.07,1.66,-1.25,0.01,48.58,-7.83,-5.32,3
1154304,0.99,-0.02,0.08,1.66,-1.26,-0.01,48.58,-7.83,-5.32,3
1154315,0.98,-0.02,0.08,1.63,-0.87,0.01,48.58,-7.83,-5.32,3
1154329,0.98,-0.02,0.07,1.61,-0.86,-0.02,48.58,-7.83,-5.32,3
1154340,0.99,-0.02,0.07,1.58,-1.29,-0.03,48.57,-7.78,-5.4,3
1154352,0.99,-0.02,0.08,1.58,-1.62,-0.02,48.57,-7.78,-5.4,3
1154364,0.99,-0.02,0.08,1.54,-1.4,-0.03,48.57,-7.78,-5.4,3
1154376,0.98,-0.02,0.08,1.55,-0.86,-0.02,48.57,-7.78,-5.4,3
1154387,0.98,-0.02,0.07,1.56,-0.37,0.01,48.59,-7.79,-5.34,3
1154398,0.99,-0.02,0.07,1.55,-0.33,0.01,48.59,-7.79,-5.34,3
1154410,0.99,-0.02,0.07,1.53,-0.89,-0.04,48.59,-7.79,-5.34,3
1154424,0.99,-0.02,0.08,1.57,-0.95,0.02,48.59,-7.79,-5.34,3
1154436,0.98,-0.02,0.08,1.6,-0.34,0.03,48.57,-7.78,-5.21,3
1154448,0.98,-0.02,0.07,1.64,0.52,0.02,48.57,-7.78,-5.21,3
1154459,0.99,-0.02,0.07,1.64,0.13,-0.05,48.57,-7.78,-5.21,3
1154470,0.99,-0.02,0.07,1.66,-0.62,-0.06,48.57,-7.78,-5.21,3
1154481,0.99,-0.02,0.07,1.66,-1.21,-0.08,48.57,-7.78,-5.21,3
1154494,0.98,-0.02,0.08,1.61,-0.95,-0.06,48.56,-7.8,-5.27,3
1154506,0.98,-0.02,0.08,1.58,-0.35,-0.07,48.56,-7.8,-5.27,3
1154518,0.99,-0.02,0.07,1.57,-0.16,-0.09,48.56,-7.8,-5.27,3
1154530,0.99,-0.02,0.07,1.56,-0.97,-0.11,48.56,-7.8,-5.27,3
