time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
331249,-0.04,0.03,-1.02,-11.5,-0.83,-0.52,4.82,29.51,40.5,1
331259,-0.04,0.03,-1.02,-11.96,-1.36,-0.43,4.82,29.51,40.5,1
331272,-0.04,0.02,-1.03,-11.1,-2.37,-0.56,4.69,29.89,40.39,1
331283,-0.03,0.02,-1.03,-10.47,-3.08,-0.58,4.69,29.89,40.39,1
331297,-0.03,0.01,-1.02,-8.66,-5.09,-0.65,4.69,29.89,40.39,1
331309,-0.03,0.01,-1.02,-7.79,-6.04,-0.68,4.69,29.89,40.39,1
331320,-0.03,0.01,-1.01,-7.38,-6.62,-0.65,4.53,30.3,40.19,1
331332,-0.03,0.0,-1.0,-8.26,-6.85,-0.67,4.53,30.3,40.19,1
331344,-0.03,-0.0,-1.0,-9.09,-6.64,-0.76,4.53,30.3,40.19,1
331357,-0.03,-0.01,-1.0,-10.16,-5.53,-0.81,4.53,30.3,40.19,1
331368,-0.03,-0.02,-1.0,-10.51,-5.03,-0.69,4.5,30.62,39.99,1
331379,-0.03,-0.02,-1.01,-10.68,-4.77,-0.45,4.5,30.62,39.99,1
331389,-0.02,-0.02,-1.01,-10.41,-4.47,-0.18,4.5,30.62,39.99,1
331401,-0.02,-0.02,-1.02,-8.45,-4.45,0.46,4.5,30.62,39.99,1
331412,-0.02,-0.02,-1.02,-7.11,-5.07,0.45,4.64,31.11,39.64,1
331425,-0.03,-0.02,-1.01,-4.97,-6.7,-0.34,4.64,31.11,39.64,1
331436,-0.02,-0.02,-1.01,-4.75,-7.31,-0.64,4.64,31.11,39.64,1
331447,-0.01,-0.02,-1.01,-4.73,-7.42,-0.66,4.64,31.11,39.64,1
331462,-0.01,-0.03,-1.01,-2.86,-6.61,-0.2,4.83,31.44,39.26,1
331474,-0.01,-0.03,-1.01,-1.34,-5.82,-0.13,4.83,31.44,39.26,1
331486,-0.01,-0.04,-1.01,0.87,-4.37,-0.26,4.83,31.44,39.26,1
331498,-0.0,-0.04,-1.01,0.87,-4.08,-0.21,4.83,31.44,39.26,1
331508,-0.01,-0.05,-1.01,0.54,-3.85,0.01,4.83,31.44,39.26,1
331521,-0.0,-0.05,-1.02,0.64,-3.12,1.1,5.0,31.71,39.14,1
331532,-0.01,-0.04,-1.02,1.02,-2.83,1.8,5.0,31.71,39.14,1
331545,-0.01,-0.04,-1.02,1.26,-2.79,2.49,5.0,31.71,39.14,1
331556,-0.01,-0.04,-1.02,0.85,-3.15,2.44,5.0,31.71,39.14,1
331566,-0.01,-0.03,-1.02,0.23,-3.52,2.36,4.97,31.99,38.99,1
331579,-0.01,-0.03,-1.02,-0.56,-4.18,2.09,4.97,31.99,38.99,1
331590,-0.01,-0.03,-1.01,-0.69,-4.78,1.83,4.97,31.99,38.99,1
331602,-0.01,-0.03,-1.01,-0.86,-5.38,1.47,4.97,31.99,38.99,1
331615,-0.01,-0.03,-1.0,-1.03,-5.09,0.85,5.11,32.16,38.75,1
331626,-0.01,-0.03,-1.0,-0.7,-4.13,0.93,5.11,32.16,38.75,1
331637,-0.01,-0.03,-1.01,0.13,-2.97,1.16,5.11,32.16,38.75,1
331648,-0.01,-0.03,-1.01,2.33,-1.11,1.34,5.11,32.16,38.75,1
331659,-0.01,-0.02,-1.01,2.98,-0.7,1.2,5.11,32.16,38.75,1
331669,-0.01,-0.02,-1.01,2.89,-0.7,1.0,5.12,32.36,38.73,1
331682,-0.01,-0.02,-1.01,1.21,-1.15,0.66,5.12,32.36,38.73,1
331693,-0.01,-0.02,-1.02,0.4,-1.61,0.47,5.12,32.36,38.73,1
331704,-0.01,-0.02,-1.02,-0.16,-2.09,0.19,5.12,32.36,38.73,1
331716,-0.01,-0.02,-1.02,-0.57,-2.68,-0.62,5.17,32.41,38.64,1
331728,-0.01,-0.02,-1.01,-0.66,-2.84,-1.33,5.17,32.41,38.64,1
331739,-0.01,-0.03,-1.0,-0.89,-3.14,-1.9,5.17,32.41,38.64,1
331753,-0.0,-0.04,-1.0,-1.72,-3.52,-2.32,5.17,32.41,38.64,1
331764,-0.0,-0.04,-1.0,-1.89,-3.27,-2.35,5.36,32.5,38.45,1
331778,-0.0,-0.04,-1.0,-1.84,-2.08,-2.31,5.36,32.5,38.45,1
331790,-0.0,-0.05,-1.0,-1.81,-1.38,-2.3,5.36,32.5,38.45,1
331800,0.0,-0.05,-1.01,-1.85,-0.73,-2.24,5.36,32.5,38.45,1
331812,0.0,-0.05,-1.01,-1.85,0.46,-1.54,5.33,32.6,38.42,1
331823,0.0,-0.05,-1.02,-1.64,0.91,-1.13,5.33,32.6,38.42,1
331835,0.0,-0.04,-1.03,-1.33,1.23,-0.85,5.33,32.6,38.42,1
331847,-0.0,-0.04,-1.04,-0.67,0.79,-0.79,5.33,32.6,38.42,1
331859,-0.0,-0.04,-1.04,-0.44,0.27,-1.0,5.33,32.6,38.42,1
331870,-0.0,-0.04,-1.04,-0.23,-0.3,-1.23,5.36,32.78,38.37,1
331882,-0.0,-0.05,-1.02,0.14,-1.28,-1.55,5.36,32.78,38.37,1
331892,-0.0,-0.05,-1.02,0.3,-1.6,-1.65,5.36,32.78,38.37,1
331902,-0.0,-0.05,-1.01,0.42,-1.8,-1.7,5.36,32.78,38.37,1
331913,-0.0,-0.06,-1.01,0.51,-1.83,-1.68,5.23,32.9,38.12,1
331925,-0.01,-0.06,-1.0,1.6,-1.22,-1.09,5.23,32.9,38.12,1
331935,-0.0,-0.06,-1.0,2.52,-0.59,-0.66,5.23,32.9,38.12,1
331945,-0.0,-0.06,-1.0,3.34,0.12,-0.14,5.23,32.9,38.12,1
331955,-0.01,-0.06,-1.0,3.65,0.9,0.42,5.23,32.9,38.12,1
331967,-0.01,-0.05,-1.0,2.67,1.92,1.17,5.16,33.07,38.17,1
331979,-0.01,-0.05,-1.01,1.98,1.97,1.3,5.16,33.07,38.17,1
331992,-0.01,-0.04,-1.02,0.91,1.3,1.11,5.16,33.07,38.17,1
332002,-0.01,-0.04,-1.02,0.68,0.91,0.92,5.16,33.07,38.17,1
332013,-0.01,-0.04,-1.02,0.69,0.63,0.74,5.05,33.15,38.19,1
332026,-0.01,-0.04,-1.02,1.44,0.43,0.39,5.05,33.15,38.19,1
332036,-0.02,-0.04,-1.02,2.1,0.55,0.23,5.05,33.15,38.19,1
332048,-0.01,-0.04,-1.02,3.07,0.9,0.2,5.05,33.15,38.19,1
332062,-0.02,-0.04,-1.01,5.44,2.23,-0.03,5.05,33.19,38.2,1
332074,-0.01,-0.04,-1.01,6.52,3.06,-0.21,5.05,33.19,38.2,1
332088,-0.02,-0.04,-1.01,7.63,4.7,-0.65,5.05,33.19,38.2,1
332099,-0.02,-0.04,-1.01,7.9,5.71,-0.83,5.05,33.19,38.2,1
332113,-0.02,-0.04,-1.01,8.47,7.63,-1.0,5.04,33.04,38.24,1
332123,-0.02,-0.04,-1.01,8.67,8.04,-0.92,5.04,33.04,38.24,1
332133,-0.02,-0.04,-1.01,8.87,8.23,-0.73,5.04,33.04,38.24,1
332143,-0.02,-0.04,-1.01,9.02,8.37,-0.41,5.04,33.04,38.24,1
332153,-0.02,-0.04,-1.0,8.86,8.28,-0.09,5.04,33.04,38.24,1
332166,-0.02,-0.04,-1.01,6.87,5.86,-0.22,4.88,32.97,38.19,1
332177,-0.02,-0.04,-1.02,5.77,4.93,-0.17,4.88,32.97,38.19,1
332191,-0.03,-0.04,-1.03,5.04,3.67,0.15,4.88,32.97,38.19,1
332201,-0.03,-0.04,-1.03,5.64,3.26,0.32,4.88,32.97,38.19,1
332211,-0.03,-0.04,-1.03,6.35,2.99,0.42,4.8,32.77,38.49,1
332225,-0.03,-0.04,-1.03,7.13,2.41,0.53,4.8,32.77,38.49,1
332236,-0.03,-0.04,-1.03,7.15,1.98,0.51,4.8,32.77,38.49,1
332249,-0.03,-0.04,-1.03,6.94,0.54,0.61,4.8,32.77,38.49,1
332261,-0.03,-0.04,-1.02,6.62,-0.01,0.79,4.66,32.63,38.51,1
332272,-0.03,-0.04,-1.01,6.45,-0.12,0.99,4.66,32.63,38.51,1
332283,-0.03,-0.04,-1.01,6.82,0.35,1.33,4.66,32.63,38.51,1
332294,-0.03,-0.04,-1.0,7.0,0.42,1.56,4.66,32.63,38.51,1
332306,-0.03,-0.03,-1.0,6.92,0.38,1.85,4.66,32.63,38.51,1
332318,-0.02,-0.03,-0.99,5.91,0.19,2.71,4.56,32.45,38.39,1
332328,-0.03,-0.03,-0.99,5.33,0.21,3.09,4.56,32.45,38.39,1
332340,-0.03,-0.02,-1.0,5.06,0.26,3.39,4.56,32.45,38.39,1
332353,-0.03,-0.01,-1.0,5.48,0.23,3.85,4.56,32.45,38.39,1
332364,-0.03,-0.01,-1.0,5.74,0.16,3.99,4.57,32.2,38.6,1
332376,-0.04,-0.0,-1.0,5.78,0.1,4.13,4.57,32.2,38.6,1
332388,-0.04,0.0,-1.01,5.01,0.05,4.23,4.57,32.2,38.6,1
332399,-0.04,0.01,-1.01,4.63,0.14,4.17,4.57,32.2,38.6,1
332411,-0.05,0.01,-1.02,4.58,0.56,3.97,4.5,32.08,38.89,1
332422,-0.05,0.01,-1.02,4.98,1.19,3.6,4.5,32.08,38.89,1
332434,-0.05,0.01,-1.02,5.81,1.77,3.09,4.5,32.08,38.89,1
332445,-0.05,0.01,-1.02,6.53,2.07,2.65,4.5,32.08,38.89,1
332457,-0.05,0.01,-1.01,5.58,1.59,2.0,4.5,32.08,38.89,1
332468,-0.05,0.01,-1.01,4.16,0.94,1.65,4.45,31.94,38.69,1
332479,-0.05,0.01,-1.01,2.57,0.25,1.3,4.45,31.94,38.69,1
332491,-0.05,0.01,-1.02,0.36,-0.74,0.74,4.45,31.94,38.69,1
332502,-0.05,0.01,-1.02,0.36,-0.96,0.61,4.45,31.94,38.69,1
332513,-0.05,0.0,-1.01,0.86,-1.16,0.57,4.5,31.83,38.52,1
332524,-0.05,0.0,-1.01,2.05,-1.2,0.66,4.5,31.83,38.52,1
332535,-0.05,0.01,-1.01,2.17,-0.95,0.69,4.5,31.83,38.52,1
332546,-0.05,0.01,-1.0,1.93,-0.69,0.67,4.5,31.83,38.52,1
332561,-0.05,0.01,-1.0,1.07,-0.44,0.36,4.54,31.73,38.59,1
332571,-0.05,0.0,-1.0,0.85,-0.4,0.2,4.54,31.73,38.59,1
332582,-0.05,0.0,-1.0,0.77,-0.32,0.16,4.54,31.73,38.59,1
332594,-0.04,-0.0,-1.0,0.37,-0.32,0.59,4.54,31.73,38.59,1
332606,-0.05,-0.0,-1.0,-0.03,-0.17,0.76,4.54,31.73,38.59,1
332617,-0.05,-0.0,-1.01,-1.02,-0.15,0.61,4.45,31.78,38.74,1
332629,-0.05,0.0,-1.02,-2.42,0.08,0.13,4.45,31.78,38.74,1
