time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
3690318,0.54,-0.54,-0.66,2.38,0.95,0.22,45.02,12.41,29.54,4
3690330,0.55,-0.54,-0.66,3.01,2.28,1.05,45.02,12.41,29.54,4
3690341,0.55,-0.54,-0.67,3.32,2.56,1.14,45.02,12.41,29.54,4
3690353,0.55,-0.53,-0.67,3.42,2.59,1.07,45.02,12.41,29.54,4
3690364,0.55,-0.53,-0.67,3.42,2.47,0.9,45.05,12.47,29.5,4
3690375,0.55,-0.53,-0.67,3.45,2.31,0.62,45.05,12.47,29.5,4
3690387,0.55,-0.53,-0.67,3.55,2.03,0.15,45.05,12.47,29.5,4
3690399,0.54,-0.53,-0.67,4.44,2.12,-0.08,45.05,12.47,29.5,4
3690410,0.55,-0.53,-0.68,5.12,2.81,0.02,45.05,12.47,29.5,4
3690421,0.55,-0.53,-0.68,5.59,3.26,0.06,44.98,12.47,29.58,4
3690434,0.55,-0.53,-0.68,5.17,2.79,-0.27,44.98,12.47,29.58,4
3690445,0.54,-0.53,-0.68,4.47,2.32,-0.52,44.98,12.47,29.58,4
3690457,0.54,-0.53,-0.68,3.67,1.85,-0.75,44.98,12.47,29.58,4
3690469,0.54,-0.53,-0.68,1.97,0.86,-1.21,45.02,12.35,29.56,4
3690481,0.54,-0.53,-0.67,1.19,0.36,-1.42,45.02,12.35,29.56,4
3690493,0.54,-0.53,-0.67,0.54,0.02,-1.59,45.02,12.35,29.56,4
3690504,0.54,-0.52,-0.66,0.96,0.01,-1.55,45.02,12.35,29.56,4
3690515,0.54,-0.52,-0.67,1.77,0.04,-1.42,44.88,12.36,29.6,4
3690528,0.54,-0.52,-0.67,3.68,-0.6,-1.27,44.88,12.36,29.6,4
3690539,0.53,-0.52,-0.68,4.28,-1.04,-1.36,44.88,12.36,29.6,4
3690551,0.53,-0.52,-0.68,4.33,-1.5,-1.49,44.88,12.36,29.6,4
3690566,0.53,-0.53,-0.68,3.15,-1.77,-1.45,44.78,12.38,29.61,4
3690577,0.53,-0.53,-0.68,2.48,-1.49,-1.18,44.78,12.38,29.61,4
3690590,0.54,-0.53,-0.68,1.67,-0.37,-0.25,44.78,12.38,29.61,4
3690600,0.54,-0.54,-0.67,1.84,0.41,0.32,44.78,12.38,29.61,4
3690611,0.55,-0.54,-0.67,2.23,1.24,0.73,44.78,12.38,29.61,4
3690624,0.56,-0.53,-0.68,2.67,1.13,0.62,44.73,12.24,29.61,4
3690634,0.55,-0.53,-0.68,2.68,0.35,0.07,44.73,12.24,29.61,4
3690645,0.55,-0.53,-0.68,2.59,-0.56,-0.55,44.73,12.24,29.61,4
3690659,0.54,-0.53,-0.67,2.22,-2.2,-1.38,44.73,12.24,29.61,4
3690670,0.53,-0.53,-0.67,2.2,-2.81,-1.55,44.84,12.19,29.59,4
3690683,0.52,-0.52,-0.67,2.97,-3.12,-0.83,44.84,12.19,29.59,4
3690694,0.52,-0.52,-0.67,3.73,-2.58,-0.17,44.84,12.19,29.59,4
3690706,0.52,-0.53,-0.68,4.28,-1.7,0.48,44.84,12.19,29.59,4
3690719,0.53,-0.53,-0.68,4.26,0.05,2.06,44.93,12.19,29.46,4
3690730,0.54,-0.53,-0.69,3.94,1.08,2.51,44.93,12.19,29.46,4
3690744,0.55,-0.53,-0.69,3.44,2.91,3.01,44.93,12.19,29.46,4
3690756,0.56,-0.53,-0.69,3.33,3.47,2.82,44.93,12.19,29.46,4
3690766,0.56,-0.52,-0.69,3.19,3.26,2.1,44.81,12.07,29.36,4
3690777,0.55,-0.52,-0.69,2.34,1.04,-0.18,44.81,12.07,29.36,4
3690788,0.54,-0.52,-0.68,1.7,-0.36,-1.37,44.81,12.07,29.36,4
3690800,0.53,-0.52,-0.68,1.22,-1.5,-2.18,44.81,12.07,29.36,4
3690815,0.51,-0.52,-0.67,1.2,-2.56,-2.5,44.74,12.09,29.43,4
3690826,0.51,-0.52,-0.67,1.76,-2.64,-2.19,44.74,12.09,29.43,4
3690837,0.51,-0.52,-0.67,3.62,-0.96,-0.37,44.74,12.09,29.43,4
3690848,0.52,-0.53,-0.68,4.29,0.44,1.21,44.74,12.09,29.43,4
3690860,0.53,-0.53,-0.68,4.69,1.9,2.73,44.74,12.09,29.43,4
3690872,0.54,-0.53,-0.69,4.9,4.98,4.57,44.72,12.12,29.44,4
