time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
3496216,0.6,0.11,-0.84,-36.98,-32.69,-10.22,32.84,22.71,36.71,4
3496227,0.61,0.11,-0.81,-31.76,-36.24,-12.33,32.84,22.71,36.71,4
3496239,0.61,0.11,-0.8,-27.4,-38.04,-14.15,32.84,22.71,36.71,4
3496251,0.62,0.11,-0.78,-19.89,-35.43,-15.05,32.9,23.65,36.19,4
3496263,0.63,0.11,-0.77,-15.31,-32.14,-14.71,32.9,23.65,36.19,4
3496273,0.64,0.1,-0.77,-11.04,-28.29,-14.12,32.9,23.65,36.19,4
3496283,0.66,0.08,-0.77,-8.16,-24.6,-13.16,32.9,23.65,36.19,4
3496295,0.67,0.07,-0.76,-8.04,-21.84,-10.26,32.9,23.65,36.19,4
3496306,0.67,0.07,-0.76,-8.47,-21.58,-8.87,33.19,24.54,35.68,4
3496316,0.68,0.07,-0.76,-7.98,-20.7,-7.68,33.19,24.54,35.68,4
3496326,0.68,0.07,-0.75,-6.56,-19.35,-6.6,33.19,24.54,35.68,4
3496338,0.69,0.06,-0.75,-1.68,-15.82,-4.51,33.19,24.54,35.68,4
3496349,0.69,0.06,-0.76,0.55,-14.86,-3.37,33.52,25.28,35.17,4
3496362,0.68,0.06,-0.77,4.35,-17.32,-2.01,33.52,25.28,35.17,4
3496373,0.67,0.06,-0.77,6.77,-19.33,-2.31,33.52,25.28,35.17,4
3496383,0.68,0.07,-0.76,9.42,-20.85,-2.88,33.52,25.28,35.17,4
3496393,0.67,0.08,-0.75,11.99,-21.54,-3.13,33.52,25.28,35.17,4
3496405,0.68,0.08,-0.75,16.39,-22.15,-3.99,33.77,25.84,34.86,4
3496416,0.69,0.07,-0.73,18.15,-23.11,-5.17,33.77,25.84,34.86,4
3496426,0.69,0.07,-0.72,19.65,-23.8,-6.47,33.77,25.84,34.86,4
3496436,0.7,0.07,-0.7,21.03,-23.83,-7.49,33.77,25.84,34.86,4
3496446,0.71,0.07,-0.68,22.04,-22.87,-8.07,33.77,25.84,34.86,4
3496459,0.73,0.07,-0.66,22.59,-18.44,-7.45,34.23,26.22,34.46,4
3496469,0.73,0.08,-0.67,21.24,-16.06,-6.11,34.23,26.22,34.46,4
3496479,0.72,0.09,-0.68,20.23,-14.67,-4.47,34.23,26.22,34.46,4
3496489,0.71,0.08,-0.69,20.56,-14.26,-3.4,34.23,26.22,34.46,4
3496502,0.71,0.08,-0.7,23.67,-15.79,-3.2,34.68,26.38,34.08,4
3496512,0.71,0.09,-0.7,25.27,-17.09,-3.14,34.68,26.38,34.08,4
3496522,0.71,0.1,-0.7,26.28,-18.07,-3.27,34.68,26.38,34.08,4
3496532,0.71,0.11,-0.69,26.62,-18.81,-3.86,34.68,26.38,34.08,4
3496544,0.72,0.13,-0.68,26.45,-19.58,-6.97,34.68,26.38,34.08,4
3496554,0.73,0.13,-0.66,26.12,-18.99,-8.92,35.1,26.42,34.31,4
3496565,0.73,0.12,-0.65,25.29,-17.58,-10.36,35.1,26.42,34.31,4
3496575,0.74,0.12,-0.64,23.05,-15.63,-10.98,35.1,26.42,34.31,4
3496587,0.75,0.09,-0.64,16.75,-12.09,-10.71,35.1,26.42,34.31,4
3496597,0.75,0.09,-0.64,14.53,-10.64,-9.94,35.1,26.42,34.31,4
3496608,0.76,0.08,-0.65,13.53,-9.29,-8.59,35.37,26.2,34.28,4
3496618,0.75,0.08,-0.65,13.45,-8.4,-6.95,35.37,26.2,34.28,4
3496630,0.74,0.09,-0.66,13.42,-8.48,-4.72,35.37,26.2,34.28,4
3496640,0.74,0.09,-0.66,13.64,-9.19,-4.27,35.37,26.2,34.28,4
3496651,0.74,0.09,-0.65,13.78,-10.13,-4.26,35.7,26.09,34.0,4
3496661,0.74,0.1,-0.65,13.59,-10.95,-4.77,35.7,26.09,34.0,4
3496673,0.74,0.1,-0.64,10.42,-11.8,-5.68,35.7,26.09,34.0,4
3496683,0.75,0.1,-0.64,7.15,-12.03,-5.58,35.7,26.09,34.0,4
3496693,0.75,0.1,-0.65,4.45,-12.4,-5.55,35.7,26.09,34.0,4
3496704,0.75,0.1,-0.66,4.06,-12.91,-5.77,35.99,25.95,33.68,4
3496715,0.75,0.13,-0.7,15.99,-10.08,-4.76,35.99,25.95,33.68,4
3496726,0.72,0.15,-0.69,24.68,-7.97,-4.22,35.99,25.95,33.68,4
3496736,0.7,0.16,-0.67,31.65,-5.7,-4.11,35.99,25.95,33.68,4
3496746,0.7,0.13,-0.65,35.94,-2.64,-5.1,35.99,25.95,33.68,4
3496759,0.72,0.08,-0.63,39.71,-1.1,-9.37,36.21,25.83,33.54,4
3496769,0.73,0.07,-0.62,40.24,-5.49,-11.76,36.21,25.83,33.54,4
3496779,0.74,0.07,-0.61,39.51,-11.6,-14.32,36.21,25.83,33.54,4
3496789,0.77,0.08,-0.62,36.96,-17.09,-15.97,36.21,25.83,33.54,4
3496802,0.83,0.11,-0.62,31.93,-16.65,-14.16,36.28,25.48,33.49,4
3496812,0.83,0.12,-0.61,32.41,-13.3,-11.08,36.28,25.48,33.49,4
3496822,0.83,0.13,-0.59,32.68,-8.88,-8.45,36.28,25.48,33.49,4
3496832,0.82,0.15,-0.56,32.31,-3.51,-7.15,36.28,25.48,33.49,4
3496843,0.82,0.17,-0.53,32.63,9.76,-6.47,36.28,25.48,33.49,4
3496855,0.78,0.15,-0.5,33.52,16.33,-6.22,36.51,24.95,33.48,4
3496865,0.75,0.14,-0.51,34.54,20.39,-4.96,36.51,24.95,33.48,4
3496875,0.73,0.14,-0.6,36.53,22.02,-2.71,36.51,24.95,33.48,4
3496886,0.7,0.12,-0.64,50.45,28.93,2.52,36.51,24.95,33.48,4
3496896,0.68,0.12,-0.71,60.83,32.53,5.4,36.51,24.95,33.48,4
3496907,0.69,0.11,-0.72,73.75,36.29,7.41,36.51,24.42,33.77,4
3496919,0.72,0.11,-0.73,85.02,40.25,8.68,36.51,24.42,33.77,4
3496930,0.81,0.15,-0.74,80.15,53.24,14.95,36.51,24.42,33.77,4
3496942,0.82,0.19,-0.72,67.57,58.46,20.79,36.51,24.42,33.77,4
3496953,0.8,0.24,-0.7,54.1,62.34,24.83,36.27,23.25,34.31,4
3496964,0.75,0.36,-0.66,32.39,64.21,27.3,36.27,23.25,34.31,4
3496976,0.75,0.38,-0.66,27.79,61.06,25.41,36.27,23.25,34.31,4
3496986,0.74,0.37,-0.67,25.94,53.74,21.57,36.27,23.25,34.31,4
3497000,0.7,0.33,-0.67,21.19,32.13,11.46,35.56,22.07,35.17,4
3497010,0.67,0.31,-0.67,19.8,22.16,6.08,35.56,22.07,35.17,4
3497020,0.65,0.29,-0.69,18.88,14.02,1.76,35.56,22.07,35.17,4
3497033,0.61,0.24,-0.75,22.44,5.21,-1.4,35.56,22.07,35.17,4
3497044,0.6,0.22,-0.75,28.96,2.39,-1.7,35.56,22.07,35.17,4
3497055,0.6,0.19,-0.73,36.37,-0.63,-1.97,34.83,20.98,35.83,4
3497067,0.62,0.19,-0.67,44.88,-6.9,0.05,34.83,20.98,35.83,4
3497079,0.64,0.2,-0.63,43.19,-7.46,0.6,34.83,20.98,35.83,4
3497090,0.66,0.22,-0.59,38.0,-6.22,1.75,34.83,20.98,35.83,4
3497103,0.72,0.24,-0.56,16.03,1.96,1.53,34.53,19.76,36.19,4
3497115,0.72,0.24,-0.58,0.46,4.86,1.4,34.53,19.76,36.19,4
3497125,0.73,0.23,-0.6,-15.03,5.77,1.11,34.53,19.76,36.19,4
3497137,0.72,0.19,-0.65,-36.58,-1.09,0.88,34.53,19.76,36.19,4
3497148,0.71,0.18,-0.68,-41.5,-6.58,1.63,34.09,18.94,36.69,4
3497158,0.71,0.17,-0.72,-42.58,-11.53,2.78,34.09,18.94,36.69,4
3497168,0.7,0.18,-0.74,-40.32,-16.05,4.53,34.09,18.94,36.69,4
3497180,0.67,0.21,-0.76,-29.5,-20.32,8.63,34.09,18.94,36.69,4
3497190,0.66,0.23,-0.76,-23.25,-19.68,9.33,34.09,18.94,36.69,4
3497201,0.65,0.25,-0.75,-17.9,-17.45,8.43,33.88,18.68,37.07,4
3497211,0.65,0.27,-0.73,-13.28,-15.06,6.58,33.88,18.68,37.07,4
3497223,0.66,0.29,-0.72,-4.78,-11.11,2.43,33.88,18.68,37.07,4
3497233,0.67,0.29,-0.72,-2.43,-9.27,1.06,33.88,18.68,37.07,4
3497243,0.67,0.29,-0.72,-2.15,-8.0,-0.08,33.88,18.68,37.07,4
3497255,0.67,0.28,-0.72,-3.67,-7.51,-2.97,33.87,18.36,37.23,4
3497266,0.68,0.28,-0.71,-3.17,-8.2,-4.55,33.87,18.36,37.23,4
3497277,0.69,0.28,-0.7,-1.8,-8.61,-5.71,33.87,18.36,37.23,4
3497288,0.7,0.27,-0.68,-0.4,-8.08,-6.16,33.87,18.36,37.23,4
3497301,0.71,0.26,-0.67,0.49,-5.63,-4.69,33.86,18.42,37.27,4
3497311,0.71,0.25,-0.67,0.85,-4.55,-3.29,33.86,18.42,37.27,4
3497322,0.7,0.25,-0.67,1.55,-3.54,-2.12,33.86,18.42,37.27,4
3497334,0.7,0.25,-0.68,2.44,-0.98,0.17,33.86,18.42,37.27,4
3497347,0.7,0.25,-0.69,2.79,-0.23,1.63,33.94,18.52,37.18,4
3497360,0.68,0.25,-0.68,5.89,0.3,3.4,33.94,18.52,37.18,4
3497370,0.69,0.26,-0.67,7.55,0.57,3.4,33.94,18.52,37.18,4
3497380,0.69,0.26,-0.67,9.02,0.92,3.49,33.94,18.52,37.18,4
3497390,0.69,0.26,-0.66,10.74,1.76,4.12,33.94,18.52,37.18,4
