time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
89437,-0.04,0.08,0.96,3.19,0.71,-0.1,22.98,23.76,-32.75,0
89447,-0.02,0.07,0.97,3.5,1.12,-0.28,22.98,23.76,-32.75,0
89459,0.01,0.05,0.98,3.55,1.56,-0.58,22.98,23.76,-32.75,0
89470,0.02,0.04,0.98,3.04,1.17,-0.5,22.98,23.76,-32.75,0
89481,0.03,0.03,0.98,2.3,0.42,-0.29,23.47,25.12,-32.26,0
89493,0.03,0.03,0.97,0.9,-0.52,0.31,23.47,25.12,-32.26,0
89503,0.03,0.02,0.97,0.58,-0.4,0.51,23.47,25.12,-32.26,0
89513,0.04,0.02,0.97,0.68,-0.03,0.53,23.47,25.12,-32.26,0
89524,0.04,0.02,0.98,0.96,0.38,0.46,23.47,25.12,-32.26,0
89537,0.04,0.02,0.98,1.54,0.8,0.33,23.91,25.98,-31.98,0
89547,0.04,0.02,0.99,1.87,0.73,0.31,23.91,25.98,-31.98,0
89558,0.04,0.02,0.99,2.17,0.53,0.28,23.91,25.98,-31.98,0
89569,0.04,0.02,0.98,2.6,0.04,0.21,23.91,25.98,-31.98,0
89581,0.05,0.01,0.98,2.62,-0.17,0.15,24.1,26.82,-31.57,0
89591,0.05,0.01,0.98,2.55,-0.24,0.12,24.1,26.82,-31.57,0
89603,0.05,0.01,0.98,2.12,-0.07,0.05,24.1,26.82,-31.57,0
89614,0.05,0.02,0.98,1.9,-0.12,-0.03,24.1,26.82,-31.57,0
89626,0.05,0.02,0.98,2.1,-0.2,-0.12,24.1,26.82,-31.57,0
89639,0.05,0.02,0.98,3.24,-0.31,0.08,24.31,27.3,-31.5,0
89649,0.05,0.02,0.98,3.61,-0.38,0.35,24.31,27.3,-31.5,0
89659,0.05,0.01,0.98,3.63,-0.37,0.54,24.31,27.3,-31.5,0
89670,0.05,0.01,0.98,3.18,-0.36,0.57,24.31,27.3,-31.5,0
89683,0.05,0.01,0.98,1.93,-0.86,0.27,24.49,27.97,-31.3,0
89695,0.05,0.02,0.98,1.49,-1.14,0.28,24.49,27.97,-31.3,0
89705,0.05,0.02,0.98,1.35,-1.18,0.38,24.49,27.97,-31.3,0
89717,0.05,0.02,0.98,1.96,-0.66,0.59,24.49,27.97,-31.3,0
89727,0.05,0.01,0.98,2.16,-0.33,0.58,24.68,28.28,-31.05,0
89739,0.05,0.01,0.98,2.08,-0.14,0.5,24.68,28.28,-31.05,0
89751,0.05,0.01,0.98,1.61,-0.19,0.14,24.68,28.28,-31.05,0
89762,0.05,0.01,0.98,1.41,-0.39,0.0,24.68,28.28,-31.05,0
89776,0.05,0.01,0.98,1.28,-1.0,-0.03,24.68,28.28,-31.05,0
89787,0.05,0.01,0.98,1.28,-1.09,-0.06,24.87,28.59,-30.62,0
89799,0.05,0.01,0.98,1.2,-1.14,-0.09,24.87,28.59,-30.62,0
89811,0.05,0.01,0.98,1.03,-1.75,0.04,24.87,28.59,-30.62,0
89821,0.05,0.01,0.97,0.95,-2.04,0.14,24.87,28.59,-30.62,0
89832,0.05,0.01,0.97,0.95,-2.01,0.2,24.96,28.94,-30.84,0
89845,0.05,0.01,0.97,1.27,-1.09,0.02,24.96,28.94,-30.84,0
89857,0.05,0.01,0.97,1.55,-0.57,-0.17,24.96,28.94,-30.84,0
89867,0.05,0.01,0.97,1.74,-0.21,-0.36,24.96,28.94,-30.84,0
89879,0.05,0.01,0.97,2.15,0.17,-0.57,25.06,29.1,-30.58,0
89889,0.05,0.01,0.98,2.47,0.15,-0.55,25.06,29.1,-30.58,0
89899,0.05,0.01,0.98,2.63,0.07,-0.51,25.06,29.1,-30.58,0
89909,0.05,0.01,0.98,2.54,-0.08,-0.48,25.06,29.1,-30.58,0
89919,0.05,0.01,0.98,2.27,-0.4,-0.47,25.06,29.1,-30.58,0
89932,0.05,0.01,0.98,1.46,-1.13,-0.39,25.16,29.21,-30.52,0
89942,0.05,0.01,0.98,1.1,-1.46,-0.36,25.16,29.21,-30.52,0
89952,0.05,0.02,0.98,0.91,-1.58,-0.39,25.16,29.21,-30.52,0
89962,0.05,0.02,0.98,0.87,-1.47,-0.41,25.16,29.21,-30.52,0
89974,0.05,0.02,0.98,1.12,-1.11,-0.44,25.16,29.21,-30.52,0
89984,0.05,0.02,0.98,1.5,-1.17,-0.45,25.18,29.36,-30.35,0
89995,0.05,0.02,0.98,1.98,-1.35,-0.41,25.18,29.36,-30.35,0
90005,0.05,0.02,0.98,2.31,-1.44,-0.33,25.18,29.36,-30.35,0
90017,0.05,0.02,0.98,2.26,-1.43,-0.06,25.18,29.36,-30.35,0
90028,0.05,0.01,0.98,1.93,-1.41,0.08,25.12,29.58,-30.44,0
90039,0.05,0.01,0.98,1.54,-1.43,0.21,25.12,29.58,-30.44,0
90051,0.05,0.01,0.97,0.88,-1.07,0.12,25.12,29.58,-30.44,0
90063,0.05,0.01,0.97,0.81,-0.84,-0.05,25.12,29.58,-30.44,0
90075,0.05,0.02,0.98,1.07,-0.41,-0.16,25.12,29.58,-30.44,0
90087,0.05,0.02,0.98,1.4,-0.46,0.01,24.98,29.62,-30.25,0
90099,0.05,0.02,0.98,1.82,-0.53,0.22,24.98,29.62,-30.25,0
90110,0.05,0.02,0.98,2.41,-0.23,0.43,24.98,29.62,-30.25,0
90121,0.05,0.01,0.99,2.37,-0.03,0.41,24.98,29.62,-30.25,0
90131,0.06,0.01,0.99,2.01,-0.13,0.36,24.96,29.61,-30.11,0
90144,0.06,0.01,0.99,0.78,-0.85,0.25,24.96,29.61,-30.11,0
90155,0.05,0.01,0.98,0.22,-1.09,0.17,24.96,29.61,-30.11,0
90165,0.05,0.01,0.98,-0.03,-1.23,0.05,24.96,29.61,-30.11,0
90175,0.05,0.01,0.98,0.12,-1.25,-0.06,24.96,29.61,-30.11,0
90186,0.05,0.01,0.98,0.54,-1.22,-0.06,24.97,29.68,-30.04,0
90198,0.05,0.01,0.97,1.7,-1.1,-0.01,24.97,29.68,-30.04,0
90208,0.05,0.01,0.97,2.21,-1.04,-0.03,24.97,29.68,-30.04,0
90218,0.05,0.01,0.97,2.52,-1.04,-0.12,24.97,29.68,-30.04,0
90229,0.05,0.01,0.97,2.49,-1.06,-0.2,25.02,29.61,-30.2,0
