sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.06222,-0.06675,0.02882,1481,0.0,0.0,0.0,0.0,1.0
0.06222,-0.06675,0.02885,1481,0.0,0.0,0.0,0.0,1.0
0.06225,-0.06673,0.02888,1481,0.0,0.0,0.0,0.0,1.0
0.06225,-0.06673,0.0289,1481,0.0,0.0,0.0,0.0,1.0
0.06225,-0.0667,0.02892,1481,0.0,0.0,0.0,0.0,1.0
0.06228,-0.0667,0.02895,1481,0.0,0.0,0.0,0.0,1.0
0.06228,-0.06668,0.029,1481,0.0,0.0,0.0,0.0,1.0
0.0623,-0.06668,0.02902,1481,0.0,0.0,0.0,0.0,1.0
0.0623,-0.06665,0.02905,1481,0.0,0.0,0.0,0.0,1.0
0.0623,-0.06665,0.02908,1481,0.0,0.0,0.0,0.0,1.0
0.06232,-0.06662,0.0291,1481,0.0,0.0,0.0,0.0,1.0
0.06232,-0.06662,0.02912,1481,0.0,0.0,0.0,0.0,1.0
0.06232,-0.0666,0.02915,1481,0.0,0.0,0.0,0.0,1.0
0.06235,-0.0666,0.02918,1481,0.0,0.0,0.0,0.0,1.0
0.06235,-0.0666,0.0292,1481,0.0,0.0,0.0,0.0,1.0
0.06238,-0.06657,0.02922,1481,0.0,0.0,0.0,0.0,1.0
0.06238,-0.06657,0.02925,1481,0.0,0.0,0.0,0.0,1.0
0.06238,-0.06655,0.0293,1481,0.0,0.0,0.0,0.0,1.0
0.0624,-0.06655,0.02932,1481,0.0,0.0,0.0,0.0,1.0
0.0624,-0.06652,0.02935,1481,0.0,0.0,0.0,0.0,1.0
0.0624,-0.06652,0.02938,1481,0.0,0.0,0.0,0.0,1.0
0.06242,-0.0665,0.0294,1481,0.0,0.0,0.0,0.0,1.0
0.06242,-0.0665,0.02942,1481,0.0,0.0,0.0,0.0,1.0
0.06245,-0.06648,0.02945,1481,0.0,0.0,0.0,0.0,1.0
0.06245,-0.06648,0.02948,1481,0.0,0.0,0.0,0.0,1.0
0.06245,-0.06645,0.0295,1481,0.0,0.0,0.0,0.0,1.0
0.06248,-0.06645,0.02953,1481,0.0,0.0,0.0,0.0,1.0
0.06248,-0.06645,0.02955,1481,0.0,0.0,0.0,0.0,1.0
0.06248,-0.06642,0.0296,1481,0.0,0.0,0.0,0.0,1.0
0.0625,-0.06642,0.02962,1481,0.0,0.0,0.0,0.0,1.0
0.0625,-0.0664,0.02965,1481,0.0,0.0,0.0,0.0,1.0
0.0625,-0.0664,0.02967,1481,0.0,0.0,0.0,0.0,1.0
0.06252,-0.06638,0.0297,1481,0.0,0.0,0.0,0.0,1.0
0.06252,-0.06638,0.02972,1481,0.0,0.0,0.0,0.0,1.0
0.06255,-0.06635,0.02975,1481,0.0,0.0,0.0,0.0,1.0
0.06255,-0.06635,0.02978,1481,0.0,0.0,0.0,0.0,1.0
0.06255,-0.06633,0.0298,1481,0.0,0.0,0.0,0.0,1.0
0.06258,-0.06633,0.02982,1481,0.0,0.0,0.0,0.0,1.0
0.06258,-0.06633,0.02985,1481,0.0,0.0,0.0,0.0,1.0
0.06258,-0.0663,0.0299,1481,0.0,0.0,0.0,0.0,1.0
0.0626,-0.0663,0.02992,1481,0.0,0.0,0.0,0.0,1.0
0.0626,-0.06628,0.02995,1481,0.0,0.0,0.0,0.0,1.0
0.06262,-0.06628,0.02998,1481,0.0,0.0,0.0,0.0,1.0
0.06262,-0.06625,0.03,1481,0.0,0.0,0.0,0.0,1.0
0.06262,-0.06625,0.03002,1481,0.0,0.0,0.0,0.0,1.0
0.06265,-0.06622,0.03005,1481,0.0,0.0,0.0,0.0,1.0
0.06265,-0.06622,0.03007,1481,0.0,0.0,0.0,0.0,1.0
0.06265,-0.0662,0.0301,1481,0.0,0.0,0.0,0.0,1.0
0.06267,-0.0662,0.03013,1481,0.0,0.0,0.0,0.0,1.0
0.06267,-0.06618,0.03015,1481,0.0,0.0,0.0,0.0,1.0
0.0627,-0.06618,0.0302,1481,0.0,0.0,0.0,0.0,1.0
0.0627,-0.06618,0.03022,1481,0.0,0.0,0.0,0.0,1.0
0.0627,-0.06615,0.03025,1481,0.0,0.0,0.0,0.0,1.0
0.06272,-0.06615,0.03028,1481,0.0,0.0,0.0,0.0,1.0
