sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.11895,-0.01905,-0.01692,3929,0.0,0.0,0.0,1.0,0.0
0.11898,-0.01905,-0.01702,3929,0.0,0.0,0.0,1.0,0.0
0.11898,-0.01907,-0.01715,3929,0.0,0.0,0.0,1.0,0.0
0.119,-0.0191,-0.01725,3929,0.0,0.0,0.0,1.0,0.0
0.119,-0.0191,-0.01735,3929,0.0,0.0,0.0,1.0,0.0
0.11902,-0.0191,-0.01748,3929,0.0,0.0,0.0,1.0,0.0
0.11905,-0.01912,-0.01758,3929,0.0,0.0,0.0,1.0,0.0
0.11905,-0.01915,-0.0177,3929,0.0,0.0,0.0,1.0,0.0
0.11908,-0.01915,-0.0178,3929,0.0,0.0,0.0,1.0,0.0
0.11908,-0.01915,-0.01778,3929,0.0,0.0,0.0,1.0,0.0
0.1191,-0.01918,-0.01778,3929,0.0,0.0,0.0,1.0,0.0
0.1191,-0.0192,-0.01775,3929,0.0,0.0,0.0,1.0,0.0
0.1191,-0.0192,-0.01775,3929,0.0,0.0,0.0,1.0,0.0
0.11912,-0.0192,-0.01773,3929,0.0,0.0,0.0,1.0,0.0
0.11912,-0.01923,-0.0177,3929,0.0,0.0,0.0,1.0,0.0
0.11915,-0.01925,-0.0177,3929,0.0,0.0,0.0,1.0,0.0
0.11915,-0.01925,-0.01768,3929,0.0,0.0,0.0,1.0,0.0
0.11912,-0.01925,-0.01765,3929,0.0,0.0,0.0,1.0,0.0
0.1191,-0.01925,-0.01762,3929,0.0,0.0,0.0,1.0,0.0
0.1191,-0.01925,-0.0176,3929,0.0,0.0,0.0,1.0,0.0
0.11908,-0.01925,-0.0176,3929,0.0,0.0,0.0,1.0,0.0
0.11905,-0.01925,-0.01758,3929,0.0,0.0,0.0,1.0,0.0
0.11905,-0.01925,-0.01755,3929,0.0,0.0,0.0,1.0,0.0
0.11902,-0.01925,-0.01752,3929,0.0,0.0,0.0,1.0,0.0
0.119,-0.01925,-0.0175,3929,0.0,0.0,0.0,1.0,0.0
0.119,-0.01928,-0.01758,3929,0.0,0.0,0.0,1.0,0.0
0.11898,-0.0193,-0.01765,3929,0.0,0.0,0.0,1.0,0.0
0.11895,-0.01933,-0.01773,3929,0.0,0.0,0.0,1.0,0.0
0.11895,-0.01935,-0.0178,3929,0.0,0.0,0.0,1.0,0.0
0.11895,-0.01938,-0.01785,3929,0.0,0.0,0.0,1.0,0.0
0.11892,-0.0194,-0.01792,3929,0.0,0.0,0.0,1.0,0.0
0.11892,-0.01942,-0.018,3929,0.0,0.0,0.0,1.0,0.0
0.1189,-0.01945,-0.01808,3929,0.0,0.0,0.0,1.0,0.0
0.1189,-0.01945,-0.0181,3929,0.0,0.0,0.0,1.0,0.0
0.11888,-0.01945,-0.01815,3929,0.0,0.0,0.0,1.0,0.0
0.11888,-0.01942,-0.0182,3929,0.0,0.0,0.0,1.0,0.0
0.11885,-0.01942,-0.01823,3929,0.0,0.0,0.0,1.0,0.0
0.11885,-0.01942,-0.01825,3929,0.0,0.0,0.0,1.0,0.0
0.11885,-0.0194,-0.0183,3929,0.0,0.0,0.0,1.0,0.0
0.11882,-0.0194,-0.01835,3929,0.0,0.0,0.0,1.0,0.0
0.11882,-0.0194,-0.01838,3929,0.0,0.0,0.0,1.0,0.0
0.1188,-0.01938,-0.01845,3929,0.0,0.0,0.0,1.0,0.0
0.1188,-0.01935,-0.0185,3929,0.0,0.0,0.0,1.0,0.0
0.1188,-0.01933,-0.01857,3929,0.0,0.0,0.0,1.0,0.0
0.11878,-0.0193,-0.01865,3929,0.0,0.0,0.0,1.0,0.0
0.11875,-0.0193,-0.0187,3929,0.0,0.0,0.0,1.0,0.0
0.11875,-0.01928,-0.01878,3929,0.0,0.0,0.0,1.0,0.0
0.11875,-0.01925,-0.01883,3929,0.0,0.0,0.0,1.0,0.0
0.11873,-0.01923,-0.0189,3929,0.0,0.0,0.0,1.0,0.0
0.1187,-0.01925,-0.0189,3929,0.0,0.0,0.0,1.0,0.0
0.11868,-0.01925,-0.0189,3929,0.0,0.0,0.0,1.0,0.0
0.11865,-0.01928,-0.0189,3929,0.0,0.0,0.0,1.0,0.0
0.11865,-0.0193,-0.0189,3929,0.0,0.0,0.0,1.0,0.0
0.11862,-0.0193,-0.01888,3929,0.0,0.0,0.0,1.0,0.0
0.1186,-0.01933,-0.01888,3929,0.0,0.0,0.0,1.0,0.0
0.11858,-0.01933,-0.01888,3929,0.0,0.0,0.0,1.0,0.0
0.11855,-0.01935,-0.01888,3929,0.0,0.0,0.0,1.0,0.0
0.11855,-0.01933,-0.01895,3929,0.0,0.0,0.0,1.0,0.0
0.11852,-0.0193,-0.019,3929,0.0,0.0,0.0,1.0,0.0
0.1185,-0.0193,-0.01905,3929,0.0,0.0,0.0,1.0,0.0
0.1185,-0.01928,-0.01912,3929,0.0,0.0,0.0,1.0,0.0
0.1185,-0.01925,-0.0192,3929,0.0,0.0,0.0,1.0,0.0
0.11848,-0.01925,-0.01925,3929,0.0,0.0,0.0,1.0,0.0
0.11848,-0.01923,-0.0193,3929,0.0,0.0,0.0,1.0,0.0
0.11845,-0.0192,-0.01938,3929,0.0,0.0,0.0,1.0,0.0
0.1184,-0.0192,-0.01955,3929,0.0,0.0,0.0,1.0,0.0
