sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.05463,0.11675,0.0541,1898,0.0,0.0,1.0,0.0,0.0
0.05465,0.11675,0.05405,1898,0.0,0.0,1.0,0.0,0.0
0.05468,0.11675,0.054,1898,0.0,0.0,1.0,0.0,0.0
0.05468,0.11678,0.05395,1898,0.0,0.0,1.0,0.0,0.0
0.0547,0.11678,0.0539,1898,0.0,0.0,1.0,0.0,0.0
0.05472,0.11678,0.05385,1898,0.0,0.0,1.0,0.0,0.0
0.05475,0.11678,0.0538,1898,0.0,0.0,1.0,0.0,0.0
0.05478,0.11678,0.05375,1898,0.0,0.0,1.0,0.0,0.0
0.05478,0.1168,0.0537,1898,0.0,0.0,1.0,0.0,0.0
0.0548,0.1168,0.05365,1898,0.0,0.0,1.0,0.0,0.0
0.05482,0.1168,0.0536,1898,0.0,0.0,1.0,0.0,0.0
0.05485,0.1168,0.05355,1898,0.0,0.0,1.0,0.0,0.0
0.05488,0.1168,0.0535,1898,0.0,0.0,1.0,0.0,0.0
0.05488,0.11682,0.05348,1898,0.0,0.0,1.0,0.0,0.0
0.0549,0.11682,0.05342,1898,0.0,0.0,1.0,0.0,0.0
0.05492,0.11682,0.05338,1898,0.0,0.0,1.0,0.0,0.0
0.05495,0.11682,0.05332,1898,0.0,0.0,1.0,0.0,0.0
0.05498,0.11682,0.05328,1898,0.0,0.0,1.0,0.0,0.0
0.05498,0.11685,0.05322,1898,0.0,0.0,1.0,0.0,0.0
0.055,0.11685,0.05318,1898,0.0,0.0,1.0,0.0,0.0
0.05502,0.11685,0.05312,1898,0.0,0.0,1.0,0.0,0.0
0.05505,0.11685,0.05308,1898,0.0,0.0,1.0,0.0,0.0
0.05508,0.11685,0.05302,1898,0.0,0.0,1.0,0.0,0.0
0.05508,0.11688,0.05298,1898,0.0,0.0,1.0,0.0,0.0
0.0551,0.11688,0.05293,1898,0.0,0.0,1.0,0.0,0.0
0.05512,0.11688,0.05288,1898,0.0,0.0,1.0,0.0,0.0
0.05518,0.11688,0.0529,1898,0.0,0.0,1.0,0.0,0.0
0.0552,0.1169,0.05293,1898,0.0,0.0,1.0,0.0,0.0
0.05525,0.1169,0.05295,1898,0.0,0.0,1.0,0.0,0.0
0.0553,0.11692,0.05295,1898,0.0,0.0,1.0,0.0,0.0
0.05532,0.11692,0.05298,1898,0.0,0.0,1.0,0.0,0.0
0.05537,0.11692,0.053,1898,0.0,0.0,1.0,0.0,0.0
0.05542,0.11695,0.05302,1898,0.0,0.0,1.0,0.0,0.0
0.05545,0.11695,0.05305,1898,0.0,0.0,1.0,0.0,0.0
0.0555,0.11698,0.05308,1898,0.0,0.0,1.0,0.0,0.0
0.05555,0.11698,0.05308,1898,0.0,0.0,1.0,0.0,0.0
0.05558,0.11698,0.0531,1898,0.0,0.0,1.0,0.0,0.0
