sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.00074,-0.00057,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00074,-0.00056,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00073,-0.00056,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00072,-0.00056,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00071,-0.00056,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00071,-0.00055,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.0007,-0.00055,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00069,-0.00054,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00068,-0.00054,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00068,-0.00054,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00067,-0.00054,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00053,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00053,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00065,-0.00052,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00052,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00052,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00051,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00062,-0.0005,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00061,-0.0005,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.0006,-0.0005,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00059,-0.0005,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00059,-0.00049,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00049,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00057,-0.00048,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00056,-0.00048,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00056,-0.00048,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00055,-0.00048,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00054,-0.00047,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00054,-0.00046,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00053,-0.00046,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00052,-0.00046,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00051,-0.00046,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00045,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00045,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00049,-0.00044,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00048,-0.00044,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00048,-0.00044,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00047,-0.00044,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00046,-0.00043,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00045,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00044,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00044,-0.00042,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00043,-0.00042,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00042,-0.00041,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00042,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00041,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.0004,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00039,-0.0004,0.0001,640,0.0,0.0,1.0,0.0,0.0
0.00038,-0.00039,0.0001,640,0.0,0.0,1.0,0.0,0.0
0.00038,-0.00039,0.0001,640,0.0,0.0,1.0,0.0,0.0
0.00037,-0.00038,0.0001,640,0.0,0.0,1.0,0.0,0.0
0.00038,-0.00039,0.0001,640,0.0,0.0,1.0,0.0,0.0
0.00038,-0.00039,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.00038,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.0004,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.0004,-0.0004,9e-05,640,0.0,0.0,1.0,0.0,0.0
0.0004,-0.0004,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00041,-0.00041,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00042,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00042,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00042,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00044,-0.00042,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00044,-0.00043,8e-05,640,0.0,0.0,1.0,0.0,0.0
0.00044,-0.00043,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00045,-0.00044,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00046,-0.00044,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00046,-0.00044,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00046,-0.00044,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00048,-0.00045,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00048,-0.00046,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00048,-0.00046,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.00049,-0.00046,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00046,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00047,7e-05,640,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00047,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00051,-0.00048,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00052,-0.00048,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00053,-0.00048,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00053,-0.00048,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00054,-0.00049,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00054,-0.0005,6e-05,640,0.0,0.0,1.0,0.0,0.0
0.00054,-0.0005,5e-05,640,0.0,0.0,1.0,0.0,0.0
0.00055,-0.0005,5e-05,640,0.0,0.0,1.0,0.0,0.0
0.00056,-0.0005,5e-05,640,0.0,0.0,1.0,0.0,0.0
0.00056,-0.0005,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00057,-0.00051,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00052,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00052,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00052,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00059,-0.00053,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.0006,-0.00053,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.0006,-0.00054,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00061,-0.00054,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00054,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00054,4e-05,640,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00054,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00063,-0.00055,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00056,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00056,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00065,-0.00056,2e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,2e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,2e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,2e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,3e-05,640,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00056,3e-05,640,0.0,0.0,1.0,0.0,0.0
