sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
4.5,32.08,38.89,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.5,32.09,38.88,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.49,32.09,38.88,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.49,32.1,38.87,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.48,32.1,38.87,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.48,32.11,38.86,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.48,32.12,38.86,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.47,32.12,38.85,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.47,32.13,38.85,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.47,32.13,38.84,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.46,32.14,38.84,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.46,32.15,38.83,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.45,32.15,38.83,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.45,32.16,38.82,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.45,32.16,38.81,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.44,32.17,38.81,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.44,32.18,38.8,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.44,32.18,38.8,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.43,32.19,38.79,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.43,32.19,38.79,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.42,32.2,38.78,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.42,32.21,38.78,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.42,32.21,38.77,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.41,32.22,38.77,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.41,32.22,38.76,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.4,32.23,38.76,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.4,32.24,38.75,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.4,32.24,38.74,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.39,32.25,38.74,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.39,32.25,38.73,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.39,32.26,38.73,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.38,32.27,38.72,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.38,32.27,38.72,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.37,32.28,38.71,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.37,32.28,38.71,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.37,32.29,38.7,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.36,32.3,38.7,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.36,32.3,38.69,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.36,32.31,38.68,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.35,32.31,38.68,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.35,32.32,38.67,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.34,32.33,38.67,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.34,32.33,38.66,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.34,32.34,38.66,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.33,32.34,38.65,1.0,1169,0.0,1.0,0.0,0.0,0.0
4.33,32.35,38.65,1.0,1169,0.0,1.0,0.0,0.0,0.0
