sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
2.19,-1.1,-0.06,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.18,-1.1,-0.06,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.17,-1.1,-0.05,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.17,-1.1,-0.05,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.16,-1.11,-0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.15,-1.11,-0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.14,-1.11,-0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.14,-1.11,-0.03,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.13,-1.11,-0.03,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.12,-1.11,-0.03,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.11,-1.11,-0.02,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.1,-1.11,-0.02,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.1,-1.12,-0.01,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.09,-1.12,-0.01,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.08,-1.12,-0.01,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.07,-1.12,-0.0,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.07,-1.12,0.0,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.06,-1.12,0.0,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.05,-1.12,0.01,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.04,-1.12,0.01,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.03,-1.13,0.02,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.03,-1.13,0.02,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.02,-1.13,0.02,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.01,-1.13,0.03,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.0,-1.13,0.03,3.0,3178,0.0,0.0,0.0,1.0,0.0
2.0,-1.13,0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.99,-1.13,0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.98,-1.14,0.04,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.97,-1.14,0.05,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.96,-1.14,0.05,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.96,-1.14,0.05,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.95,-1.14,0.06,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.94,-1.14,0.06,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.93,-1.14,0.07,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.92,-1.14,0.07,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.92,-1.15,0.07,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.91,-1.15,0.08,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.9,-1.15,0.08,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.89,-1.15,0.08,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.89,-1.15,0.09,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.88,-1.15,0.09,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.87,-1.15,0.1,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.86,-1.15,0.1,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.85,-1.16,0.1,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.85,-1.16,0.11,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.84,-1.16,0.11,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.83,-1.16,0.11,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.82,-1.16,0.12,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.82,-1.16,0.12,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.81,-1.16,0.13,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.8,-1.16,0.13,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.79,-1.17,0.13,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.78,-1.17,0.14,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.78,-1.17,0.14,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.77,-1.17,0.15,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.76,-1.17,0.15,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.75,-1.17,0.15,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.75,-1.17,0.16,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.74,-1.18,0.16,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.73,-1.18,0.16,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.72,-1.18,0.17,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.71,-1.18,0.17,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.71,-1.18,0.18,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.7,-1.18,0.18,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.69,-1.18,0.18,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.68,-1.18,0.19,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.68,-1.19,0.19,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.67,-1.19,0.19,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.66,-1.19,0.2,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.65,-1.19,0.2,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.64,-1.19,0.21,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.64,-1.19,0.21,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.63,-1.19,0.21,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.62,-1.19,0.22,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.61,-1.2,0.22,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.6,-1.2,0.22,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.6,-1.2,0.23,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.59,-1.2,0.23,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.58,-1.2,0.24,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.57,-1.2,0.24,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.57,-1.2,0.24,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.56,-1.21,0.25,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.55,-1.21,0.25,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.54,-1.21,0.26,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.53,-1.21,0.26,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.53,-1.21,0.26,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.52,-1.21,0.27,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.51,-1.21,0.27,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.5,-1.21,0.27,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.5,-1.22,0.28,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.49,-1.22,0.28,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.48,-1.22,0.29,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.47,-1.22,0.29,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.46,-1.22,0.29,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.46,-1.22,0.3,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.45,-1.22,0.3,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.44,-1.22,0.3,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.43,-1.23,0.31,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.43,-1.23,0.31,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.42,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
1.41,-1.23,0.32,3.0,3178,0.0,0.0,0.0,1.0,0.0
