sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
-7.44,-11.49,-1.31,0.0,3265,1.0,0.0,0.0,0.0,0.0
-7.02,-11.21,-1.22,0.0,3265,1.0,0.0,0.0,0.0,0.0
-6.6,-10.93,-1.14,0.0,3265,1.0,0.0,0.0,0.0,0.0
-6.19,-10.65,-1.05,0.0,3265,1.0,0.0,0.0,0.0,0.0
-5.77,-10.37,-0.96,0.0,3265,1.0,0.0,0.0,0.0,0.0
-5.35,-10.09,-0.88,0.0,3265,1.0,0.0,0.0,0.0,0.0
-4.93,-9.8,-0.79,0.0,3265,1.0,0.0,0.0,0.0,0.0
-4.51,-9.52,-0.7,0.0,3265,1.0,0.0,0.0,0.0,0.0
-4.1,-9.24,-0.62,0.0,3265,1.0,0.0,0.0,0.0,0.0
-3.68,-8.96,-0.53,0.0,3265,1.0,0.0,0.0,0.0,0.0
-3.26,-8.68,-0.45,0.0,3265,1.0,0.0,0.0,0.0,0.0
-2.84,-8.4,-0.36,0.0,3265,1.0,0.0,0.0,0.0,0.0
-2.42,-8.12,-0.27,0.0,3265,1.0,0.0,0.0,0.0,0.0
-2.01,-7.84,-0.19,0.0,3265,1.0,0.0,0.0,0.0,0.0
-1.59,-7.56,-0.1,0.0,3265,1.0,0.0,0.0,0.0,0.0
-1.17,-7.28,-0.01,0.0,3265,1.0,0.0,0.0,0.0,0.0
-0.75,-6.99,0.07,0.0,3265,1.0,0.0,0.0,0.0,0.0
-0.33,-6.71,0.16,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.08,-6.43,0.25,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.5,-6.15,0.33,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.92,-5.87,0.42,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.8,-5.43,0.4,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.68,-5.0,0.38,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.57,-4.56,0.35,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.45,-4.12,0.33,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.33,-3.69,0.31,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.21,-3.25,0.29,0.0,3265,1.0,0.0,0.0,0.0,0.0
0.1,-2.81,0.27,0.0,3265,1.0,0.0,0.0,0.0,0.0
-0.02,-2.38,0.24,0.0,3265,1.0,0.0,0.0,0.0,0.0
-0.14,-1.94,0.22,0.0,3265,1.0,0.0,0.0,0.0,0.0
