sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
22.13,-8.74,37.42,1.0,1118,0.0,1.0,0.0,0.0,0.0
