sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
-6.92,-16.92,-7.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.92,-16.89,-7.89,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.93,-16.86,-7.94,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.93,-16.84,-7.98,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.94,-16.81,-8.02,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.94,-16.78,-8.06,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.95,-16.75,-8.11,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.95,-16.72,-8.15,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.96,-16.7,-8.19,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.96,-16.67,-8.24,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.97,-16.64,-8.28,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.97,-16.61,-8.32,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.98,-16.58,-8.36,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.98,-16.56,-8.41,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.99,-16.53,-8.45,4.0,4610,0.0,0.0,0.0,0.0,1.0
-6.99,-16.5,-8.49,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.0,-16.47,-8.53,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.0,-16.44,-8.58,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.01,-16.42,-8.62,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.01,-16.39,-8.66,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.02,-16.36,-8.71,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.02,-16.33,-8.75,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.03,-16.3,-8.79,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.03,-16.28,-8.83,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.04,-16.25,-8.88,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.04,-16.22,-8.92,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.05,-16.19,-8.96,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.06,-16.17,-9.0,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.07,-16.14,-9.04,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.08,-16.11,-9.08,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.09,-16.08,-9.11,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.1,-16.06,-9.15,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.1,-16.03,-9.19,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.11,-16.0,-9.23,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.12,-15.98,-9.27,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.13,-15.95,-9.31,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.14,-15.92,-9.35,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.15,-15.89,-9.39,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.16,-15.87,-9.42,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.17,-15.84,-9.46,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.18,-15.81,-9.5,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.19,-15.78,-9.54,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.2,-15.76,-9.58,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.21,-15.73,-9.62,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.21,-15.7,-9.66,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.22,-15.68,-9.7,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.23,-15.65,-9.73,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.24,-15.62,-9.77,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.25,-15.59,-9.81,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.26,-15.57,-9.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.27,-15.54,-9.89,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.29,-15.53,-9.89,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.3,-15.52,-9.88,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.32,-15.51,-9.88,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.33,-15.5,-9.88,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.35,-15.49,-9.88,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.36,-15.48,-9.87,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.38,-15.46,-9.87,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.39,-15.45,-9.87,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.41,-15.44,-9.86,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.43,-15.43,-9.86,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.44,-15.42,-9.86,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.46,-15.41,-9.86,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.47,-15.4,-9.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.49,-15.39,-9.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.5,-15.38,-9.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.52,-15.37,-9.85,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.54,-15.36,-9.84,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.55,-15.35,-9.84,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.57,-15.33,-9.84,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.58,-15.32,-9.83,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.6,-15.31,-9.83,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.61,-15.3,-9.83,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.63,-15.29,-9.83,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.64,-15.28,-9.82,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.66,-15.27,-9.82,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.67,-15.26,-9.81,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.67,-15.25,-9.81,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.68,-15.23,-9.8,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.69,-15.22,-9.8,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.69,-15.21,-9.79,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.7,-15.2,-9.78,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.71,-15.18,-9.78,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.71,-15.17,-9.77,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.72,-15.16,-9.77,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.73,-15.15,-9.76,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.73,-15.13,-9.75,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.74,-15.12,-9.75,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.75,-15.11,-9.74,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.76,-15.1,-9.74,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.76,-15.08,-9.73,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.77,-15.07,-9.72,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.78,-15.06,-9.72,4.0,4610,0.0,0.0,0.0,0.0,1.0
-7.78,-15.05,-9.71,4.0,4610,0.0,0.0,0.0,0.0,1.0
