sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
-0.69,-0.62,-0.39,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.69,-0.72,-0.18,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.7,-0.82,0.03,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.7,-0.92,0.24,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.7,-1.02,0.45,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.7,-1.12,0.66,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.7,-1.22,0.87,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.71,-1.32,1.08,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.71,-1.42,1.29,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.54,-1.44,1.31,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.36,-1.47,1.33,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.19,-1.5,1.35,0.0,3904,1.0,0.0,0.0,0.0,0.0
-0.01,-1.52,1.37,0.0,3904,1.0,0.0,0.0,0.0,0.0
0.16,-1.54,1.39,0.0,3904,1.0,0.0,0.0,0.0,0.0
0.33,-1.57,1.41,0.0,3904,1.0,0.0,0.0,0.0,0.0
0.51,-1.6,1.43,0.0,3904,1.0,0.0,0.0,0.0,0.0
0.68,-1.62,1.45,0.0,3904,1.0,0.0,0.0,0.0,0.0
0.9,-1.58,1.45,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.12,-1.55,1.45,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.33,-1.51,1.45,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.55,-1.47,1.46,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.77,-1.43,1.46,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.98,-1.4,1.46,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.2,-1.36,1.46,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.42,-1.32,1.46,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.25,-1.25,1.4,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.08,-1.19,1.34,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.91,-1.12,1.28,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.74,-1.06,1.22,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.58,-0.99,1.16,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.41,-0.92,1.1,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.24,-0.86,1.04,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.07,-0.79,0.98,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.3,-0.86,0.92,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.53,-0.93,0.87,0.0,3904,1.0,0.0,0.0,0.0,0.0
1.76,-1.0,0.81,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.0,-1.08,0.76,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.23,-1.15,0.7,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.46,-1.22,0.64,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.69,-1.29,0.59,0.0,3904,1.0,0.0,0.0,0.0,0.0
2.92,-1.36,0.53,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.01,-1.41,0.57,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.1,-1.46,0.61,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.18,-1.5,0.65,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.27,-1.55,0.69,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.36,-1.6,0.73,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.44,-1.64,0.77,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.53,-1.69,0.81,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.62,-1.74,0.85,0.0,3904,1.0,0.0,0.0,0.0,0.0
3.62,-1.67,0.88,0.0,3904,1.0,0.0,0.0,0.0,0.0
