sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
-19.71,-3.85,15.64,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.72,-3.86,15.6,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.72,-3.87,15.57,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.73,-3.87,15.53,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.73,-3.88,15.5,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.74,-3.89,15.46,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.75,-3.9,15.43,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.75,-3.9,15.39,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.76,-3.91,15.36,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.76,-3.92,15.32,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.77,-3.93,15.28,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.78,-3.93,15.25,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.78,-3.94,15.21,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.79,-3.95,15.18,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.79,-3.96,15.14,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.8,-3.96,15.11,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.81,-3.97,15.07,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.81,-3.98,15.03,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.82,-3.99,15.0,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.82,-3.99,14.96,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.83,-4.0,14.93,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.84,-4.01,14.89,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.84,-4.02,14.86,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.85,-4.02,14.82,3.0,2918,0.0,0.0,0.0,1.0,0.0
-19.85,-4.03,14.79,3.0,2918,0.0,0.0,0.0,1.0,0.0
