sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
2.18,-0.68,0.03,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.17,-0.7,0.04,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.17,-0.72,0.05,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.16,-0.73,0.06,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.16,-0.75,0.07,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.15,-0.77,0.08,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.15,-0.79,0.09,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.14,-0.81,0.1,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.14,-0.83,0.11,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.13,-0.84,0.11,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.12,-0.86,0.12,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.12,-0.88,0.13,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.11,-0.9,0.14,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.11,-0.92,0.15,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.1,-0.93,0.16,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.1,-0.95,0.17,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.09,-0.97,0.18,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.08,-0.99,0.19,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.08,-1.01,0.2,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.07,-1.03,0.21,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.07,-1.04,0.22,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.06,-1.06,0.23,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.06,-1.08,0.24,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.05,-1.1,0.25,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.05,-1.12,0.26,4.0,5050,0.0,0.0,0.0,0.0,1.0
2.04,-1.14,0.26,4.0,5050,0.0,0.0,0.0,0.0,1.0
